Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2)
0,10731
0,64413
0,418042
0,254025
0,76614
0,494557
19435,0
0,66207
0,20812
56539,0
68501,1734
717427,126547
0,10941
0,2077888
0,105399
0,190
0,12822
0,38101
0,0
0,36763
0,48113
0,37882
0,36215
0,16254
1144912,16976
2097,0
0,0
0,14718
0,21415
0,21349
0,922
0,1990
0,0
0,69055
1871,69042
0,14039
0,496248
0,15906
0,82433
0,108440
502054,150338
0,46857
0,31231
0,0
0,76345
0,1169432
0,18255
80010,0
86443,0
31370,0
53743,0
0,0
0,0
0,19521
17730,11119
42243,0
3636,26870
0,45538
0,5316
0,117734
812601,2998
0,145
0,0
0,59516
0,1803
1565833,135500
0,38078
0,9286
0,31031
0,13373
0,42241
0,20142
1143229,351866
214771,1633
13448,0
16619,0
7714,3827
0,28001
0,10588
0,63063
0,65853
0,104002
0,50142
0,12862
0,9418
0,10325
0,115128
40641,140
0,22207
0,444700
0,13665
0,744011
41661,2452
503134,66373
0,142974
0,405316
0,17034
0,115607
0,551145
0,685093
0,282416
0,37844
16036,1127
0,114254
0,13792
0,707359
1011954,116998
0,189
33650,74
0,13645
0,9605
0,12326
0,1935309
245941,317
301371,1771
39724,0
0,0
0,44254
0,11452
0,10740
121724,99530
0,13529
0,0
0,26
0,1275098
0,36021
0,17174
0,21477
0,15598
0,5619677
0,20808
0,5571
0,127452
0,82345
0,56073
43836,0
0,17582
0,13050
0,57309
0,0
45632,0