Total Emissions,Biogenic CO2,Fossil CO2,Methane,Nitrous Oxide,Hydrofluorocarbons,Perfluorocarbons,Sulfur Hexafluoride,Other,Sector 
155888,0,10731,1,145157,0,0,0,0,Chemicals
64413,0,64413,0,0,0,0,0,0,Chemicals
1195786,0,418042,10480,34,0,767230,0,0,Metals
331207,0,254025,14,16,0,77152,0,0,Metals
76674,0,76614,27,32,0,0,0,0,Minerals
495030,0,494557,369,104,0,0,0,0,Minerals
19534,19435,0,30,70,0,0,0,0,Power Plants
66276,0,66207,31,37,0,0,0,0,Manufacturing
20833,0,20812,10,12,0,0,0,0,Manufacturing
57294,56539,0,109,647,0,0,0,0,Wood Products
71151,68501,1734,132,784,0,0,0,0,Wood Products
855520,717427,126547,8991,2556,0,0,0,0,Pulp and Paper
10952,0,10941,5,6,0,0,0,0,Power Plants
2093437,0,2077888,11062,4486,0,0,0,0,Refineries
105474,0,105399,34,41,0,0,0,0,Minerals
23520,0,190,23329,0,0,0,0,0,Waste
12838,0,12822,7,9,0,0,0,0,Government
38141,0,38101,18,21,0,0,0,0,Manufacturing
34450,0,0,34450,0,0,0,0,0,Waste
36801,0,36763,17,21,0,0,0,0,Food Production
48162,0,48113,23,27,0,0,0,0,Food Production
37922,0,37882,18,22,0,0,0,0,Food Production
36252,0,36215,17,20,0,0,0,0,Food Production
16271,0,16254,8,9,0,0,0,0,Food Production
1170393,1144912,16976,5426,3079,0,0,0,0,Pulp and Paper
190202,2097,0,188098,7,0,0,0,0,Waste
4533,0,0,4533,0,0,0,0,0,Waste
14732,0,14718,7,8,0,0,0,0,Food Production
21437,0,21415,10,12,0,0,0,0,Food Production
21372,0,21349,10,12,0,0,0,0,Food Production
15048,0,922,1094,13032,0,0,0,0,Food Production
21519,0,1990,1514,18016,0,0,0,0,Food Production
25752,0,0,1986,23766,0,0,0,0,Food Production
69126,0,69055,32,38,0,0,0,0,Chemicals
71009,1871,69042,36,60,0,0,0,0,Power Plants
14053,0,14039,7,8,0,0,0,0,Government
496752,0,496248,230,274,0,0,0,0,Power Plants
15923,0,15906,8,9,0,0,0,0,Food Production
84805,0,82433,2326,46,0,0,0,0,Petroleum and Natural Gas Systems
111325,0,108440,2824,61,0,0,0,0,Petroleum and Natural Gas Systems
663149,502054,150338,9299,1458,0,0,0,0,Pulp and Paper
46906,0,46857,22,26,0,0,0,0,Manufacturing
31264,0,31231,15,18,0,0,0,0,Manufacturing
40606,0,0,40606,0,0,0,0,0,Waste
76402,0,76345,23,34,0,0,0,0,Minerals
1170621,0,1169432,542,646,0,0,0,0,Power Plants
18273,0,18255,9,10,0,0,0,0,Food Production
80421,80010,0,123,288,0,0,0,0,Power Plants
87598,86443,0,166,989,0,0,0,0,Wood Products
31789,31370,0,60,359,0,0,0,0,Wood Products
54461,53743,0,103,615,0,0,0,0,Wood Products
26870,0,0,26870,0,0,0,0,0,Waste
11142,0,0,860,10283,0,0,0,0,Food Production
19541,0,19521,9,11,0,0,0,0,Minerals
29097,17730,11119,39,209,0,0,0,0,Pulp and Paper
42807,42243,0,81,483,0,0,0,0,Wood Products
44568,3636,26870,14034,28,0,0,0,0,Food Production
87686,0,45538,42123,26,0,0,0,0,Food Production
5321,0,5316,3,3,0,0,0,0,Metals
117856,0,117734,56,66,0,0,0,0,Metals
826454,812601,2998,1561,9295,0,0,0,0,Power Plants
63395,0,145,63250,0,0,0,0,0,Waste
83094,0,0,83094,0,0,0,0,0,Waste
59516,0,59516,0,0,0,0,0,0,Chemicals
33622,0,1803,1,1236,1783,25804,2736,258,Manufacturing
1708673,1565833,135500,1387,5954,0,0,0,0,Pulp and Paper
77566,0,38078,39467,21,0,0,0,0,Food Production
9296,0,9286,5,5,0,0,0,0,Pulp and Paper
31063,0,31031,15,17,0,0,0,0,Food Production
13388,0,13373,7,8,0,0,0,0,Government
42287,0,42241,21,26,0,0,0,0,Government
20166,0,20142,10,13,0,0,0,0,Government
1502988,1143229,351866,1723,6170,0,0,0,0,Pulp and Paper
223631,214771,1633,4767,2460,0,0,0,0,Pulp and Paper
13572,13448,0,19,105,0,0,0,0,Wood Products
16772,16619,0,24,130,0,0,0,0,Wood Products
11648,7714,3827,17,90,0,0,0,0,Wood Products
29670,0,28001,1654,16,0,0,0,0,Petroleum and Natural Gas Systems
12873,0,10588,2280,6,0,0,0,0,Petroleum and Natural Gas Systems
65776,0,63063,2678,35,0,0,0,0,Petroleum and Natural Gas Systems
66543,0,65853,653,37,0,0,0,0,Petroleum and Natural Gas Systems
109422,0,104002,5362,58,0,0,0,0,Petroleum and Natural Gas Systems
50469,0,50142,299,28,0,0,0,0,Petroleum and Natural Gas Systems
15534,0,12862,2666,7,0,0,0,0,Petroleum and Natural Gas Systems
13756,0,9418,4333,5,0,0,0,0,Petroleum and Natural Gas Systems
12443,0,10325,2113,6,0,0,0,0,Petroleum and Natural Gas Systems
115173,0,115128,20,24,0,0,0,0,Metals
41324,40641,140,78,465,0,0,0,0,Wood Products
22223,0,22207,7,9,0,0,0,0,Minerals
445152,0,444700,206,246,0,0,0,0,Power Plants
13688,0,13665,16,7,0,0,0,0,Petroleum and Natural Gas Systems
747276,0,744011,1419,1846,0,0,0,0,Refineries
44680,41661,2452,83,483,0,0,0,0,Pulp and Paper
572693,503134,66373,578,2608,0,0,0,0,Pulp and Paper
143119,0,142974,66,79,0,0,0,0,Power Plants
405726,0,405316,187,223,0,0,0,0,Power Plants
17052,0,17034,8,10,0,0,0,0,Power Plants
115727,0,115607,55,66,0,0,0,0,Power Plants
551705,0,551145,256,305,0,0,0,0,Power Plants
685789,0,685093,318,379,0,0,0,0,Power Plants
282703,0,282416,131,156,0,0,0,0,Power Plants
37884,0,37844,18,22,0,0,0,0,Power Plants
17378,16036,1127,31,184,0,0,0,0,Wood Products
114372,0,114254,54,64,0,0,0,0,Metals
13806,0,13792,7,8,0,0,0,0,Chemicals
708077,0,707359,328,391,0,0,0,0,Power Plants
1135442,1011954,116998,1154,5336,0,0,0,0,Pulp and Paper
248507,0,189,248318,1,0,0,0,0,Waste
34173,33650,74,65,385,0,0,0,0,Wood Products
13660,0,13645,7,8,0,0,0,0,Government
9615,0,9605,5,5,0,0,0,0,Manufacturing
12338,0,12326,6,7,0,0,0,0,Manufacturing
1946151,0,1935309,6480,4362,0,0,0,0,Refineries
249544,245941,317,472,2813,0,0,0,0,Wood Products
307168,301371,1771,579,3448,0,0,0,0,Wood Products
40254,39724,0,76,454,0,0,0,0,Wood Products
29065,0,0,2077,26988,0,0,0,0,Food Production
44254,0,44254,0,0,0,0,0,0,Chemicals
11464,0,11452,6,7,0,0,0,0,Pulp and Paper
10750,0,10740,5,5,0,0,0,0,Minerals
226238,121724,99530,1944,3041,0,0,0,0,Waste
13542,0,13529,6,7,0,0,0,0,Food Production
14812,0,0,14812,0,0,0,0,0,Waste
109385,0,26,109359,0,0,0,0,0,Waste
1280696,0,1275098,2387,3212,0,0,0,0,Refineries
36058,0,36021,17,20,0,0,0,0,Manufacturing
17191,0,17174,8,10,0,0,0,0,Manufacturing
21499,0,21477,10,12,0,0,0,0,Manufacturing
15614,0,15598,7,9,0,0,0,0,Manufacturing
5665101,0,5619677,16615,28808,0,0,0,0,Power Plants
74580,0,20808,53760,12,0,0,0,0,Food Production
15494,0,5571,9912,10,0,0,0,0,Government
128434,0,127452,952,30,0,0,0,0,Refineries
82430,0,82345,39,46,0,0,0,0,Government
78742,0,56073,22633,35,0,0,0,0,Government
44422,43836,0,84,501,0,0,0,0,Wood Products
17600,0,17582,8,10,0,0,0,0,Chemicals
172725,0,13050,6,7177,10646,78165,39193,24486,Manufacturing
57370,0,57309,28,34,0,0,0,0,Government
31208,0,0,31208,0,0,0,0,0,Waste
46229,45632,0,86,511,0,0,0,0,Wood Products