Total Emissions (MT CO2e),Sector 
155888,Chemicals
64413,Chemicals
69126,Chemicals
59516,Chemicals
13806,Chemicals
44254,Chemicals
17600,Chemicals
36801,Food Production
48162,Food Production
37922,Food Production
36252,Food Production
16271,Food Production
14732,Food Production
21437,Food Production
21372,Food Production
15048,Food Production
21519,Food Production
25752,Food Production
15923,Food Production
18273,Food Production
11142,Food Production
44568,Food Production
87686,Food Production
77566,Food Production
31063,Food Production
29065,Food Production
13542,Food Production
74580,Food Production
12838,Government
14053,Government
13388,Government
42287,Government
20166,Government
13660,Government
15494,Government
82430,Government
78742,Government
57370,Government
66276,Manufacturing
20833,Manufacturing
38141,Manufacturing
46906,Manufacturing
31264,Manufacturing
33622,Manufacturing
9615,Manufacturing
12338,Manufacturing
36058,Manufacturing
17191,Manufacturing
21499,Manufacturing
15614,Manufacturing
172725,Manufacturing
1195786,Metals
331207,Metals
5321,Metals
117856,Metals
115173,Metals
114372,Metals
76674,Minerals
495030,Minerals
105474,Minerals
76402,Minerals
19541,Minerals
22223,Minerals
10750,Minerals
84805,Petroleum and Natural Gas Systems
111325,Petroleum and Natural Gas Systems
29670,Petroleum and Natural Gas Systems
12873,Petroleum and Natural Gas Systems
65776,Petroleum and Natural Gas Systems
66543,Petroleum and Natural Gas Systems
109422,Petroleum and Natural Gas Systems
50469,Petroleum and Natural Gas Systems
15534,Petroleum and Natural Gas Systems
13756,Petroleum and Natural Gas Systems
12443,Petroleum and Natural Gas Systems
13688,Petroleum and Natural Gas Systems
19534,Power Plants
10952,Power Plants
71009,Power Plants
496752,Power Plants
1170621,Power Plants
80421,Power Plants
826454,Power Plants
445152,Power Plants
143119,Power Plants
405726,Power Plants
17052,Power Plants
115727,Power Plants
551705,Power Plants
685789,Power Plants
282703,Power Plants
37884,Power Plants
708077,Power Plants
5665101,Power Plants
855520,Pulp and Paper
1170393,Pulp and Paper
663149,Pulp and Paper
29097,Pulp and Paper
1708673,Pulp and Paper
9296,Pulp and Paper
1502988,Pulp and Paper
223631,Pulp and Paper
44680,Pulp and Paper
572693,Pulp and Paper
1135442,Pulp and Paper
11464,Pulp and Paper
2093437,Refineries
747276,Refineries
1946151,Refineries
1280696,Refineries
128434,Refineries
23520,Waste
34450,Waste
190202,Waste
4533,Waste
40606,Waste
26870,Waste
63395,Waste
83094,Waste
248507,Waste
226238,Waste
14812,Waste
109385,Waste
31208,Waste
57294,Wood Products
71151,Wood Products
87598,Wood Products
31789,Wood Products
54461,Wood Products
42807,Wood Products
13572,Wood Products
16772,Wood Products
11648,Wood Products
41324,Wood Products
17378,Wood Products
34173,Wood Products
249544,Wood Products
307168,Wood Products
40254,Wood Products
44422,Wood Products
46229,Wood Products