Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e)
0,10731,1,145157,0,0,0,0
0,64413,0,0,0,0,0,0
0,418042,10480,34,0,767230,0,0
0,254025,14,16,0,77152,0,0
0,76614,27,32,0,0,0,0
0,494557,369,104,0,0,0,0
19435,0,30,70,0,0,0,0
0,66207,31,37,0,0,0,0
0,20812,10,12,0,0,0,0
56539,0,109,647,0,0,0,0
68501,1734,132,784,0,0,0,0
717427,126547,8991,2556,0,0,0,0
0,10941,5,6,0,0,0,0
0,2077888,11062,4486,0,0,0,0
0,105399,34,41,0,0,0,0
0,190,23329,0,0,0,0,0
0,12822,7,9,0,0,0,0
0,38101,18,21,0,0,0,0
0,0,34450,0,0,0,0,0
0,36763,17,21,0,0,0,0
0,48113,23,27,0,0,0,0
0,37882,18,22,0,0,0,0
0,36215,17,20,0,0,0,0
0,16254,8,9,0,0,0,0
1144912,16976,5426,3079,0,0,0,0
2097,0,188098,7,0,0,0,0
0,0,4533,0,0,0,0,0
0,14718,7,8,0,0,0,0
0,21415,10,12,0,0,0,0
0,21349,10,12,0,0,0,0
0,922,1094,13032,0,0,0,0
0,1990,1514,18016,0,0,0,0
0,0,1986,23766,0,0,0,0
0,69055,32,38,0,0,0,0
1871,69042,36,60,0,0,0,0
0,14039,7,8,0,0,0,0
0,496248,230,274,0,0,0,0
0,15906,8,9,0,0,0,0
0,82433,2326,46,0,0,0,0
0,108440,2824,61,0,0,0,0
502054,150338,9299,1458,0,0,0,0
0,46857,22,26,0,0,0,0
0,31231,15,18,0,0,0,0
0,0,40606,0,0,0,0,0
0,76345,23,34,0,0,0,0
0,1169432,542,646,0,0,0,0
0,18255,9,10,0,0,0,0
80010,0,123,288,0,0,0,0
86443,0,166,989,0,0,0,0
31370,0,60,359,0,0,0,0
53743,0,103,615,0,0,0,0
0,0,26870,0,0,0,0,0
0,0,860,10283,0,0,0,0
0,19521,9,11,0,0,0,0
17730,11119,39,209,0,0,0,0
42243,0,81,483,0,0,0,0
3636,26870,14034,28,0,0,0,0
0,45538,42123,26,0,0,0,0
0,5316,3,3,0,0,0,0
0,117734,56,66,0,0,0,0
812601,2998,1561,9295,0,0,0,0
0,145,63250,0,0,0,0,0
0,0,83094,0,0,0,0,0
0,59516,0,0,0,0,0,0
0,1803,1,1236,1783,25804,2736,258
1565833,135500,1387,5954,0,0,0,0
0,38078,39467,21,0,0,0,0
0,9286,5,5,0,0,0,0
0,31031,15,17,0,0,0,0
0,13373,7,8,0,0,0,0
0,42241,21,26,0,0,0,0
0,20142,10,13,0,0,0,0
1143229,351866,1723,6170,0,0,0,0
214771,1633,4767,2460,0,0,0,0
13448,0,19,105,0,0,0,0
16619,0,24,130,0,0,0,0
7714,3827,17,90,0,0,0,0
0,28001,1654,16,0,0,0,0
0,10588,2280,6,0,0,0,0
0,63063,2678,35,0,0,0,0
0,65853,653,37,0,0,0,0
0,104002,5362,58,0,0,0,0
0,50142,299,28,0,0,0,0
0,12862,2666,7,0,0,0,0
0,9418,4333,5,0,0,0,0
0,10325,2113,6,0,0,0,0
0,115128,20,24,0,0,0,0
40641,140,78,465,0,0,0,0
0,22207,7,9,0,0,0,0
0,444700,206,246,0,0,0,0
0,13665,16,7,0,0,0,0
0,744011,1419,1846,0,0,0,0
41661,2452,83,483,0,0,0,0
503134,66373,578,2608,0,0,0,0
0,142974,66,79,0,0,0,0
0,405316,187,223,0,0,0,0
0,17034,8,10,0,0,0,0
0,115607,55,66,0,0,0,0
0,551145,256,305,0,0,0,0
0,685093,318,379,0,0,0,0
0,282416,131,156,0,0,0,0
0,37844,18,22,0,0,0,0
16036,1127,31,184,0,0,0,0
0,114254,54,64,0,0,0,0
0,13792,7,8,0,0,0,0
0,707359,328,391,0,0,0,0
1011954,116998,1154,5336,0,0,0,0
0,189,248318,1,0,0,0,0
33650,74,65,385,0,0,0,0
0,13645,7,8,0,0,0,0
0,9605,5,5,0,0,0,0
0,12326,6,7,0,0,0,0
0,1935309,6480,4362,0,0,0,0
245941,317,472,2813,0,0,0,0
301371,1771,579,3448,0,0,0,0
39724,0,76,454,0,0,0,0
0,0,2077,26988,0,0,0,0
0,44254,0,0,0,0,0,0
0,11452,6,7,0,0,0,0
0,10740,5,5,0,0,0,0
121724,99530,1944,3041,0,0,0,0
0,13529,6,7,0,0,0,0
0,0,14812,0,0,0,0,0
0,26,109359,0,0,0,0,0
0,1275098,2387,3212,0,0,0,0
0,36021,17,20,0,0,0,0
0,17174,8,10,0,0,0,0
0,21477,10,12,0,0,0,0
0,15598,7,9,0,0,0,0
0,5619677,16615,28808,0,0,0,0
0,20808,53760,12,0,0,0,0
0,5571,9912,10,0,0,0,0
0,127452,952,30,0,0,0,0
0,82345,39,46,0,0,0,0
0,56073,22633,35,0,0,0,0
43836,0,84,501,0,0,0,0
0,17582,8,10,0,0,0,0
0,13050,6,7177,10646,78165,39193,24486
0,57309,28,34,0,0,0,0
0,0,31208,0,0,0,0,0
45632,0,86,511,0,0,0,0